word                				occurance

'                   				60
'Because            				10
'Fire               				10
'Next               				10
'Yeah               				10
'propaganda         				10
's                  				10
'the                				10
'we'                				10
00                  				60
1                   				400
10                  				130
100                 				10
11                  				400
12                  				1460
12's                				30
12s                 				20
13                  				700
13's                				30
13s                 				10
14                  				10
15                  				10
150                 				10
16                  				10
17                  				20
18                  				50
19                  				10
1by                 				10
1s                  				10
2                   				340
20                  				10
21                  				10
22                  				30
220                 				10
23                  				10
24                  				10
25                  				10
250                 				10
26                  				10
27                  				10
3                   				340
30                  				50
307                 				40
39                  				10
3901                				10
3902                				10
3903                				10
3908                				30
4                   				360
4's                 				10
5                   				130
6                   				100
7                   				150
75                  				10
8                   				380
8th                 				20
9                   				80
A                   				2800
ASHES               				10
Aa                  				10
Abernathy           				50
About               				310
Above               				30
Absolutely          				60
Absorbent           				10
Across              				20
Action              				10
Actually            				50
Add                 				10
Additional          				10
Adjusting           				10
Admiration          				10
Adoration           				10
Adrenaline          				20
After               				920
Again               				20
Against             				10
Agonizing           				10
Agreed              				30
Agriculture         				10
Ah                  				30
Ahh                 				10
Aim                 				10
Air                 				10
Airborne            				20
Airtime             				30
All                 				970
Allies              				10
Alma                				10
Almost              				120
Alone               				20
Along               				30
Aloof               				10
Already             				80
Also                				40
Although            				260
Always              				20
Am                  				60
Amazingly           				10
America             				10
Among               				20
An                  				300
And                 				5420
Anger               				30
Annie               				140
Annie's             				30
Announced           				10
Another             				170
Anticipating        				10
Ants                				10
Any                 				110
Anyone              				50
Anything            				80
Anyway              				60
Apart               				10
Appalachia          				10
Apparently          				110
Apprehensively      				10
Are                 				280
Aren't              				20
Arenas              				10
Around              				40
Arrange             				10
Arrest              				10
Arrogant            				10
Arrows              				10
As                  				1690
Ashes               				10
Ask                 				10
Asked               				20
Asking              				10
Asleep              				10
Assault             				30
Assembling          				10
Assignment          				10
At                  				1110
Atala               				50
Ate                 				10
Attached            				10
Attend              				10
Attendance          				10
Attention           				10
Automatically       				10
Average             				10
Avox                				260
Avoxes              				20
Avoxes'             				10
Aw                  				10
Away                				30
Awhile              				10
BOOK                				20
BURN                				20
Back                				210
Bad                 				30
Badly               				10
Bait                				10
Bakers              				10
Bam                 				20
Bandages            				20
Banquet             				10
Barbarism           				10
Barely              				10
Base                				30
Bathing             				10
Be                  				110
Bears               				10
Beating             				10
Beautiful           				20
Beautifully         				10
Beauty              				40
Because             				910
Beef                				10
Been                				30
Beetee              				1350
Beetee's            				260
Before              				270
Begging             				10
Behind              				70
Being               				120
Believe             				30
Below               				20
Belt                				10
Beside              				20
Besides             				430
Best                				40
Bet                 				50
Betrayal            				10
Better              				190
Between             				80
Beyond              				20
Big                 				20
Birds               				10
Black               				20
Bleeding            				10
Blew                				10
Blight              				30
Blind               				10
Blinding            				10
Blisters            				10
Blood               				30
Blossoms            				10
Blow                				10
Blowing             				10
Blue                				20
Bodies              				10
Body                				10
Boggs               				390
Boggs's             				10
Bong                				20
Bonnie              				310
Bonnie's            				40
Boom                				30
Both                				190
Bouncing            				10
Bows                				10
Boy                 				70
Boys                				10
Bread               				10
Breakfast           				50
Bright              				20
Brilliant           				10
Bristel             				40
Broiling            				10
Brrr                				10
Brutal              				10
Brutus              				300
Brutus's            				30
Building            				300
Buildings           				10
Bundled             				10
Burn                				20
Burning             				20
But                 				8370
Buttercup           				150
Buttercup's         				30
By                  				710
Bye                 				10
COLLINS             				10
CRANE               				10
Caesar              				1100
Caesar's            				40
Caesars             				50
Calculating         				10
Call                				10
Calm                				20
Camera              				10
Cameras             				10
Can                 				250
Can't               				40
Cant                				20
Capital             				10
Capitol             				3500
Capitol's           				290
Capitols            				110
Cardew              				40
Care                				10
Career              				310
Careers             				780
Careers'            				10
Careful             				20
Cartwright          				40
Cashmere            				80
Cashmere's          				10
Castor              				20
Cat                 				10
Catching            				10
Catnip              				60
Cato                				1070
Cato's              				20
Catos               				230
Cautiously          				10
Cecelia             				50
Center              				380
Certainly           				70
Chaff               				200
Chaff's             				10
Charred             				10
Cheap               				10
Check               				10
Checking            				10
Chew                				10
Chicken             				10
Chickens            				10
Children            				10
Chink               				10
Chocolate           				10
Choose              				10
Cinna               				1980
Cinna's             				180
Cinnas              				120
Circle              				90
City                				80
Classic             				10
Claudius            				140
Clean               				40
Cleaning            				10
Clear               				10
Clearly             				40
Clenching           				10
Climb               				20
Climbing            				10
Close               				20
Closer              				20
Clothed             				10
Clouds              				10
Clove               				290
Cloves              				40
Cloying             				10
Clusters            				10
Coaching            				10
Coal                				10
Coffee              				10
Coin                				390
Coin's              				90
Collective          				10
Collins             				10
Comb                				10
Combine             				10
Come                				420
Command             				100
Commander           				20
Communication       				20
Communications      				10
Compare             				10
Compared            				10
Compartment         				60
Completely          				10
Concealed           				30
Concentration       				10
Condensing          				10
Conflicting         				10
Confused            				20
Congratulations     				10
Convince            				20
Convinced           				10
Cookies             				10
Cooking             				20
Cool                				30
Cornucopia          				660
Cornucopia's        				10
Corpses             				10
Coughing            				10
Could               				150
Couldn't            				30
Couldnt             				30
Count               				20
Countless           				10
Course              				20
Cover               				20
Covering            				10
Cradling            				10
Crane               				50
Crane's             				10
Crashing            				10
Cray                				120
Cray's              				10
Crazy               				10
Creamy              				10
Cressida            				120
Cressida's          				20
Cresta              				30
Crouching           				10
Crying              				10
Cup                 				10
Cut                 				50
Cutting             				10
DISTRICT            				10
DNA                 				20
Dalton              				40
Dancing             				10
Dandelions          				10
Dangerous           				10
Dangling            				10
Darius              				190
Darius's            				40
Dark                				110
Darkness            				10
Dawn                				30
Day                 				40
Daylight            				10
Days                				110
Dead                				20
Deal                				10
Decide              				10
Decided             				10
Deep                				20
Defense             				50
Defiance            				10
Definitely          				10
Delicious           				10
Delight             				10
Delly               				50
Depends             				10
Desert              				10
Designs             				10
Desperate           				10
Despite             				160
Destroying          				10
Details             				20
Determined          				10
Devoid              				10
Did                 				420
Didn't              				50
Didnt               				10
Died                				10
Dinner              				10
Dipping             				10
Directly            				10
Disappear           				10
Disappeared         				10
Disbelief           				10
Discomfort          				20
Discuss             				10
Disgusted           				10
Dissonant           				10
Distraction         				10
District            				3980
Districts           				70
Dividing            				10
Division            				20
Do                  				578
Doctors             				10
Does                				150
Doesn't             				20
Doesnt              				20
Doing               				10
Don't               				390
Done                				10
Donner              				70
Donner's            				10
Dont                				310
Double              				10
Doubt               				20
Down                				20
Downstairs          				40
Downstream          				10
Dr                  				10
Drag                				10
Dragging            				10
Dress               				10
Dried               				10
Drink               				30
Drop                				20
Droplets            				10
Dropped             				20
Drugs               				10
Drunk               				10
Drunken             				10
Duck                				10
Dump                				10
During              				100
Duties              				10
Dye                 				10
E                   				20
END                 				20
ENEMY               				10
Each                				180
Early               				10
Easier              				10
Easy                				20
Eat                 				30
Eating              				10
Eddy                				20
Education           				20
Eerily              				10
Effie               				1740
Effie's             				70
Effies              				70
Eggs                				10
Eight               				200
Eighteen            				10
Either              				130
Electricity         				10
Electrified         				10
Electronic          				10
Eleven              				140
Emptying            				10
Enclose             				10
Encouraged          				10
End                 				30
Enemy               				20
Enjoy               				20
Enobaria            				280
Enobaria's          				50
Enormous            				10
Enough              				20
Entirely            				10
Entrails            				10
Entranced           				10
Ermine              				20
Escape              				10
Especially          				100
Euh                 				10
Euuuh               				10
Even                				980
Evening             				30
Eventually          				80
Ever                				60
Everdeen            				290
Everdeens           				20
Every               				270
Everybody           				40
Everyone            				260
Everyone's          				50
Everyones           				30
Everything          				150
Everythings         				10
Everywhere          				10
Evidently           				10
Exactly             				50
Excellent           				50
Except              				170
Exchange            				10
Excited             				10
Excuse              				20
Execute             				10
Exhausted           				20
Existing            				10
Expect              				10
Expected            				10
Experts             				10
Extended            				10
Eyes                				10
Fabric              				10
Face                				10
Faces               				10
Faint               				10
Fair                				10
Family              				40
Fancy               				20
Fangs               				10
Fantastic           				10
Far                 				30
Fatigue             				10
Fear                				10
Fearing             				10
Feasts              				10
Feathers            				10
Fed                 				10
Feed                				10
Feel                				20
Feeling             				10
Feels               				20
Feet                				20
Feral               				10
Festival            				60
Fewer               				10
Fierce              				10
Fifteen             				10
Fiftieth            				10
Fifty               				10
Fighting            				30
Figured             				10
Finally             				300
Find                				40
Fine                				100
Finish              				20
Finnick             				2880
Finnick's           				380
Fire                				30
Fire's              				10
First               				150
Fish                				10
Fits                				10
Five                				60
Fix                 				10
Flames              				20
Flattening          				10
Flaunted            				10
Flavius             				190
Flavius's           				30
Fleeing             				20
Flickerman          				160
Flight              				10
Flip                				10
Floating            				20
Floor               				10
Flowing             				10
Fluffy              				10
Following           				10
Food                				30
Footsteps           				20
For                 				1310
Force               				10
Forces              				10
Forcing             				10
Forget              				60
Fortunately         				140
Forward             				10
Four                				130
Fourteen            				10
Foxface             				300
Foxfaces            				30
Frankly             				40
Friday              				20
From                				270
Fry                 				10
Full                				10
Fulvia              				290
Fulvia's            				80
Funny               				30
GAMES               				10
Gale                				3580
Gale'd              				10
Gale's              				520
Gales               				120
Game                				20
Gamemaker           				160
Gamemaker's         				10
Gamemakers          				740
Gamemakers'         				30
Games               				2570
Geese               				10
Get                 				230
Getting             				60
Gifts               				20
Giggling            				10
Gingerly            				10
Girl                				20
Girls               				20
Give                				130
Given               				40
Glimmer             				180
Glimmer's           				40
Glimmers            				60
Gloss               				110
Gnawing             				10
Go                  				240
Goat                				60
Goats               				10
Going               				20
Gone                				20
Good                				310
Got                 				40
Grab                				10
Gradually           				10
Gray                				40
Grease              				10
Greasy              				210
Great               				30
Green               				20
Greetings           				10
Ground              				10
Guarding            				10
Guards              				10
Guess               				50
Gush                				10
H                   				10
Had                 				40
Hadnt               				10
Halfnaked           				10
Halfway             				10
Hands               				30
Handsome            				10
Hang                				10
Hangar              				30
Happiness           				10
Happy               				20
Hard                				30
Hardly              				30
Harmless            				10
Harvest             				60
Has                 				130
Hated               				10
Have                				180
Haven't             				10
Havent              				20
Having              				70
Hawthorne           				20
Hawthornes          				10
Haymitch            				5270
Haymitch's          				370
Haymitchs           				190
Hazelle             				320
Hazelle's           				10
He                  				4890
He'd                				50
He'll               				70
He's                				650
Head                				280
Heading             				30
Headlamps           				10
Headquarters        				20
Hear                				10
Hearing             				20
Heavensbee          				100
Heavensbee's        				30
Heaviness           				10
Heavy               				30
Hed                 				30
Held                				10
Hell                				60
Hello               				60
Help                				20
Her                 				450
Herbelt's           				10
Here                				190
Here's              				10
Heres               				40
Hes                 				620
Het                 				10
Hey                 				150
Hid                 				10
Hidden              				20
High                				30
Highlight           				10
Highly              				10
Him                 				20
His                 				1000
History             				10
Hm                  				30
Hob                 				330
Hold                				30
Holding             				20
Home                				20
Honking             				10
Hope                				10
Hopefully           				20
Hoping              				10
Horrifying          				10
Hot                 				10
Hovercraft          				10
How                 				1250
How'd               				10
How's               				60
However             				70
Hows                				10
Huge                				30
Hugging             				10
Huh                 				20
Humble              				10
Hunger              				670
Hungry              				10
Hunted              				10
Hunting             				50
Hunts               				10
Hurray              				10
Hurry               				10
Hurting             				10
I                   				84860
I'd                 				670
I'll                				1100
I'm                 				4770
I've                				1580
ID                  				10
IF                  				10
II                  				20
III                 				20
Icy                 				10
Id                  				730
Ideally             				20
If                  				2250
Ill                 				1060
Im                  				4250
Images              				20
Imagine             				10
Imagining           				10
Immediately         				30
Important           				10
Improves            				10
Impulsively         				10
In                  				1750
Incoming            				10
Incredible          				10
Indifferent         				10
Indirectly          				10
Individual          				10
Initially           				10
Innocent            				10
Inserted            				10
Inside              				70
Instantly           				30
Instead             				370
Instinct            				10
Instinctively       				10
Intelligence        				10
Intensely           				10
Interesting         				10
Ironically          				20
Is                  				460
Isn't               				70
Isnt                				30
It                  				3320
It'd                				20
It'll               				30
It's                				2840
Itd                 				20
Itll                				20
Its                 				1970
Ive                 				1670
Ivory               				10
JJ                  				10
Jabberjays          				10
Jagged              				10
January             				20
Jewels              				10
Johanna             				1020
Johanna's           				100
Joy                 				10
Judging             				20
Jungle              				10
Just                				1150
Justice             				300
KILL                				10
Katniss             				2030
Katniss's           				100
Keep                				60
Keeping             				10
Kicking             				10
Kids                				20
Kill                				40
Killing             				30
Kind                				30
Kitchen             				10
Know                				10
Knowing             				20
Knows               				10
Lace                				10
Laced               				10
Ladies              				50
Lady                				40
Larger              				20
Last                				100
Latecomers          				10
Lately              				10
Later               				30
Launch              				50
Lay                 				30
Layers              				10
Lean                				10
Leap                				10
Learn               				10
Leather             				20
Leave               				60
Leaving             				20
Leevy               				60
Left                				20
Less                				50
Let                 				180
Let's               				250
Lets                				160
Letting             				10
Level               				20
Liar                				10
Life                				10
Lifesaving          				10
Light               				10
Lightning           				10
Likable             				10
Like                				470
Listen              				70
Listening           				10
Lit                 				10
Literally           				10
Little              				30
Live                				20
Living              				10
Long                				10
Look                				190
Looking             				40
Looks               				10
Lots                				10
Love                				10
Lovely              				20
Lover               				80
Low                 				10
Luckily             				10
Lucky               				50
Lumber              				20
Lunch               				10
Lying               				20
MOCKINGJAY          				10
Machine             				10
Mad                 				10
Made                				20
Madge               				340
Madge's             				40
Madges              				50
Mags                				570
Mags's              				40
Make                				160
Making              				60
Man                 				60
Many                				40
Maple               				10
Marriage            				10
Martin              				20
Marvel              				20
Mashed              				10
Mason               				130
Massive             				10
Materializing       				10
May                 				90
Maybe               				1400
Mayor               				50
Maysilee            				170
Me                  				150
Meadow              				140
Meadows             				10
Mean                				10
Meaning             				10
Meaningless         				10
Meanwhile           				10
Medium              				10
Meet                				20
Mellark             				190
Mellarks            				20
Men                 				20
Messalla            				70
Messalla's          				10
Midnight            				10
Might               				30
Military            				10
Mine                				40
Miners              				10
Mint                				10
Miscarriage         				10
Miss                				60
Mm                  				20
Mockingjay          				250
Mockingjays         				20
Moisture            				10
Momentarily         				10
Moments             				10
Mon                 				10
Moonlight           				10
More                				190
Morning             				10
Most                				270
Mostly              				20
Mother              				10
Move                				30
Moved               				10
Much                				30
Mud                 				30
Muddy               				10
Muff                				10
Murder              				10
Murmur              				10
Mushroom            				10
Music               				50
Must                				50
Mutilation          				10
Muttations          				20
Mutts               				10
Mutually            				10
My                  				3910
Myself              				20
NOW                 				10
Nagging             				10
Nah                 				10
Naked               				20
Nakedness           				10
Navigating          				10
Neat                				10
Need                				20
Needless            				10
Needling            				10
Neither             				120
Nervous             				10
Nervousness         				10
Never               				70
New                 				70
Newcomers           				10
Next                				40
Nice                				30
Night               				60
Nightmares          				10
Nine                				40
No                  				3150
Nobody              				10
None                				140
Noodles             				10
Nor                 				30
Normal              				10
North               				10
Not                 				1760
Nothing             				290
Nothings            				20
November            				10
Now                 				910
Now's               				10
Nows                				10
Nuclear             				10
Numerous            				10
Nuts                				90
OF                  				20
ON                  				10
ONE                 				10
Objectively         				10
Obviously           				110
Occasionally        				10
Ocean               				10
Octavia             				380
Octavia's           				30
Octavias            				10
October             				10
Odair               				70
Odair's             				30
Odd                 				10
Odds                				20
Of                  				580
Off                 				30
Office              				20
Officially          				10
Often               				40
Oh                  				1040
Ohhh                				10
Okay                				290
Old                 				10
Older               				10
On                  				500
Once                				200
One                 				780
Only                				720
Ooh                 				10
Open                				10
Opinions            				10
Or                  				830
Orange              				30
Orchards            				10
Ordinarily          				10
Originally          				10
Other               				20
Others              				50
Otherwise           				30
Ouch                				10
Our                 				400
Ours                				10
Out                 				60
Outside             				10
Over                				80
Owe                 				10
Owning              				10
PART                				70
Pain                				10
Pairs               				10
Panem               				400
Panic               				10
Paper               				10
Parcel              				30
Part                				30
Particularly        				20
Parts               				10
Past                				10
Patches             				10
Pathetic            				10
Patting             				10
Paylor              				120
Peacekeeper         				260
Peacekeeper's       				20
Peacekeepers        				510
Peacekeepers'       				50
Peacekeeping        				10
Peacemaker          				10
Peacemakers         				10
Peeta               				11540
Peeta's             				940
Peetanor            				10
Peetas              				820
People              				310
Perching            				10
Perfect             				60
Perhaps             				310
Period              				10
Perplexed           				10
Petrified           				10
Pheasant            				10
Pick                				10
Picking             				10
Picnics             				10
Pink                				20
Pity                				20
Plants              				20
Please              				60
Pleased             				10
Plenty              				10
Plus                				40
Plutarch            				1030
Plutarch's          				30
Poaching            				10
Poised              				10
Poisoned            				10
Poisonous           				10
Pollux              				30
Pond                				10
Poor                				30
Popular             				10
Population          				10
Portia              				460
Portia's            				10
Portias             				10
Positioned          				10
Positions           				10
Possibly            				80
Posy                				110
Power               				20
Powerful            				10
Praised             				10
Predictably         				10
Predictions         				10
Presenting          				10
President           				920
Press               				10
Pretend             				10
Pretty              				40
Prevent             				10
Prim                				1940
Prim's              				140
Primand             				10
Primrose            				20
Prims               				210
Probably            				220
Promise             				20
Promising           				10
Propaganda          				10
Propelled           				10
Proposing           				10
Publicly            				10
Pulling             				20
Punishable          				10
Punished            				10
Punishing           				10
Purnia              				30
Purnia's            				10
Put                 				50
QUELL               				10
Quack               				20
Quarter             				290
Quell               				430
Quells              				10
Quickly             				10
Quiet               				20
Quit                				10
Quite               				10
R                   				10
Rabid               				10
Rain                				10
Ran                 				10
Rarely              				10
Ready               				40
Real                				30
Really              				280
Reaping             				10
Reassured           				10
Rebellion           				10
Reflection          				30
Refreshed           				10
Refusal             				10
Relief              				10
Relieved            				10
Relive              				10
Reluctance          				10
Remake              				60
Remarkable          				10
Remember            				150
Remembering         				10
Remind              				10
Reminded            				10
Repeatedly          				10
Replaying           				20
Respect             				10
Restraint           				10
Return              				10
Returning           				20
Rhythmic            				10
Ride                				10
Right               				310
Ripper              				60
Rising              				10
Roasted             				10
Rockies             				10
Rolling             				10
Romance             				10
Romulus             				20
Rooba               				60
Room                				70
Rory                				80
Rosy                				10
Row                 				20
Rubbing             				10
Rue                 				1560
Rue's               				120
Rues                				400
Run                 				80
Running             				20
Runs                				10
Rushing             				10
SENECA              				10
SNOW                				10
SPARK               				10
SUZANNE             				10
Sac                 				10
Sadly               				10
Sae                 				150
Sae's               				30
Saes                				20
Safe                				10
Sagging             				10
Said                				10
Same                				50
Sap                 				10
Sat                 				10
Save                				50
