occurance           				word

10                  				'Because
10                  				'Fire
10                  				'Next
10                  				'Yeah
10                  				'propaganda
10                  				's
10                  				'the
10                  				'we'
10                  				100
10                  				13s
10                  				14
10                  				15
10                  				150
10                  				16
10                  				19
10                  				1by
10                  				1s
10                  				20
10                  				21
10                  				220
10                  				23
10                  				24
10                  				25
10                  				250
10                  				26
10                  				27
10                  				39
10                  				3901
10                  				3902
10                  				3903
10                  				4's
10                  				75
10                  				ASHES
10                  				Aa
10                  				Absorbent
10                  				Action
10                  				Add
10                  				Additional
10                  				Adjusting
10                  				Admiration
10                  				Adoration
10                  				Against
10                  				Agonizing
10                  				Agriculture
10                  				Ahh
10                  				Aim
10                  				Air
10                  				Allies
10                  				Alma
10                  				Aloof
10                  				Amazingly
10                  				America
10                  				Announced
10                  				Anticipating
10                  				Ants
10                  				Apart
10                  				Appalachia
10                  				Apprehensively
10                  				Arenas
10                  				Arrange
10                  				Arrest
10                  				Arrogant
10                  				Arrows
10                  				Ashes
10                  				Ask
10                  				Asking
10                  				Asleep
10                  				Assembling
10                  				Assignment
10                  				Ate
10                  				Attached
10                  				Attend
10                  				Attendance
10                  				Attention
10                  				Automatically
10                  				Average
10                  				Avoxes'
10                  				Aw
10                  				Awhile
10                  				Badly
10                  				Bait
10                  				Bakers
10                  				Banquet
10                  				Barbarism
10                  				Barely
10                  				Bathing
10                  				Bears
10                  				Beating
10                  				Beautifully
10                  				Beef
10                  				Begging
10                  				Belt
10                  				Betrayal
10                  				Birds
10                  				Bleeding
10                  				Blew
10                  				Blind
10                  				Blinding
10                  				Blisters
10                  				Blossoms
10                  				Blow
10                  				Blowing
10                  				Bodies
10                  				Body
10                  				Boggs's
10                  				Bouncing
10                  				Bows
10                  				Boys
10                  				Bread
10                  				Brilliant
10                  				Broiling
10                  				Brrr
10                  				Brutal
10                  				Buildings
10                  				Bundled
10                  				Bye
10                  				COLLINS
10                  				CRANE
10                  				Calculating
10                  				Call
10                  				Camera
10                  				Cameras
10                  				Capital
10                  				Care
10                  				Careers'
10                  				Cashmere's
10                  				Cat
10                  				Catching
10                  				Cautiously
10                  				Chaff's
10                  				Charred
10                  				Cheap
10                  				Check
10                  				Checking
10                  				Chew
10                  				Chicken
10                  				Chickens
10                  				Children
10                  				Chink
10                  				Chocolate
10                  				Choose
10                  				Classic
10                  				Cleaning
10                  				Clear
10                  				Clenching
10                  				Climbing
10                  				Clothed
10                  				Clouds
10                  				Cloying
10                  				Clusters
10                  				Coaching
10                  				Coal
10                  				Coffee
10                  				Collective
10                  				Collins
10                  				Comb
10                  				Combine
10                  				Communications
10                  				Compare
10                  				Compared
10                  				Completely
10                  				Concentration
10                  				Condensing
10                  				Conflicting
10                  				Congratulations
10                  				Convinced
10                  				Cookies
10                  				Cornucopia's
10                  				Corpses
10                  				Coughing
10                  				Countless
10                  				Covering
10                  				Cradling
10                  				Crane's
10                  				Crashing
10                  				Cray's
10                  				Crazy
10                  				Creamy
10                  				Crouching
10                  				Crying
10                  				Cup
10                  				Cutting
10                  				DISTRICT
10                  				Dancing
10                  				Dandelions
10                  				Dangerous
10                  				Dangling
10                  				Darkness
10                  				Daylight
10                  				Deal
10                  				Decide
10                  				Decided
10                  				Defiance
10                  				Definitely
10                  				Delicious
10                  				Delight
10                  				Depends
10                  				Desert
10                  				Designs
10                  				Desperate
10                  				Destroying
10                  				Determined
10                  				Devoid
10                  				Didnt
10                  				Died
10                  				Dinner
10                  				Dipping
10                  				Directly
10                  				Disappear
10                  				Disappeared
10                  				Disbelief
10                  				Discuss
10                  				Disgusted
10                  				Dissonant
10                  				Distraction
10                  				Dividing
10                  				Doctors
10                  				Doing
10                  				Done
10                  				Donner's
10                  				Double
10                  				Downstream
10                  				Dr
10                  				Drag
10                  				Dragging
10                  				Dress
